GO,evidence,isoform
GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0097056,ISS,fig|387092.6.peg.1447|NIS_1379
GO:0004372; GO:0005737; GO:0008168; GO:0019264; GO:0030170; GO:0032259; GO:0035999,ISS,fig|387092.6.peg.1231|NIS_1178
GO:0005737; GO:0006535; GO:0009001,ISS,fig|387092.6.peg.856|NIS_0816
GO:0004672; GO:0005524; GO:0006468; GO:0016021,ISS,fig|387092.6.peg.1504|NIS_1433
GO:0005524; GO:0016887; GO:0051301,ISS,fig|387092.6.peg.863|NIS_0823
GO:0000902,ISS,fig|387092.6.peg.862|NIS_0822
GO:0005737; GO:0009117; GO:0035529; GO:0047429,ISS,fig|387092.6.peg.1599|NIS_1525
GO:0000270; GO:0008932; GO:0016829; GO:0042834; GO:0071555,ISS,fig|387092.6.peg.816|NIS_0776
GO:0016301; GO:0016310,ISS,fig|387092.6.peg.7|NIS_0007
GO:0008168; GO:0032259,ISS,fig|387092.6.peg.1369|NIS_1305
GO:0008168; GO:0032259,ISS,fig|387092.6.peg.1108|NIS_1063
GO:0000287; GO:0004478; GO:0005524; GO:0005737; GO:0006556; GO:0006730,ISS,fig|387092.6.peg.407|NIS_0393
GO:0004478; GO:0005524; GO:0006556,ISS,fig|387092.6.peg.1120|NIS_1074
GO:0004014; GO:0006557; GO:0008295,ISS,fig|387092.6.peg.1600|NIS_1526
GO:0005737; GO:0008616; GO:0016740; GO:0016853,ISS,fig|387092.6.peg.1198|NIS_1146
GO:0016301; GO:0016310,ISS,fig|387092.6.peg.980|NIS_0938
GO:0008360; GO:0016021; GO:0051301,ISS,fig|387092.6.peg.791|NIS_0751
GO:0008360,ISS,fig|387092.6.peg.576|NIS_0544
GO:0005524; GO:0005737; GO:0008360,ISS,fig|387092.6.peg.575|NIS_0543
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.81|NIS_0076
GO:0016020; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.80|NIS_0075
GO:0016020,ISS,fig|387092.6.peg.123
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.1749|NIS_1671
GO:0001123; GO:0003677; GO:0003700; GO:0005737; GO:0016987; GO:2000142,ISS,fig|387092.6.peg.764|NIS_0724
GO:0003677; GO:0003700; GO:0016987; GO:2000142,ISS,fig|387092.6.peg.653|NIS_0618
GO:0008270,ISS,fig|387092.6.peg.1029|NIS_0987
GO:0008270,ISS,fig|387092.6.peg.1123|NIS_1077
,ISS,fig|387092.6.peg.921|NIS_0882
GO:0003676,ISS,fig|387092.6.peg.292|NIS_0278
GO:0016740,ISS,fig|387092.6.peg.1184|NIS_1132
,ISS,fig|387092.6.peg.1756|NIS_1678
GO:0016679; GO:0051537; GO:0055114,ISS,fig|387092.6.peg.35|NIS_0033
,ISS,fig|387092.6.peg.1292|NIS_1235
GO:0004750; GO:0005975; GO:0006098; GO:0046872,ISS,fig|387092.6.peg.333|NIS_0320
GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872,ISS,fig|387092.6.peg.134|NIS_0125
GO:0005737; GO:0006415,ISS,fig|387092.6.peg.1929|NIS_1843
GO:0005840; GO:0044238,ISS,fig|387092.6.peg.1424|NIS_1355
GO:0005737; GO:0030490,ISS,fig|387092.6.peg.437|NIS_0422
GO:0003723,ISS,fig|387092.6.peg.888|NIS_0848
GO:0043190; GO:0055085,ISS,fig|387092.6.peg.1807|NIS_1726
GO:0005524; GO:0016887,ISS,fig|387092.6.peg.1806|NIS_1725
GO:0005737; GO:0017148; GO:0042256; GO:0090071,ISS,fig|387092.6.peg.1568|NIS_1494
GO:0005737; GO:0006400; GO:0018339; GO:0046872; GO:0051539; GO:0103039,ISS,fig|387092.6.peg.1551|NIS_1478
GO:0005737; GO:0005840; GO:0006479; GO:0008276,ISS,fig|387092.6.peg.1481|NIS_1410
GO:0000287; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0009116; GO:0009156; GO:0009165; GO:0016301; GO:0016310,ISS,fig|387092.6.peg.451|NIS_0435
GO:0004751; GO:0005975,ISS,fig|387092.6.peg.748|NIS_0708
GO:0005524; GO:0006260; GO:0008998; GO:0055114,ISS,fig|387092.6.peg.1854|NIS_1771
GO:0003824; GO:0051536,ISS,fig|387092.6.peg.1852|NIS_1769
GO:0006260; GO:0008998; GO:0031419; GO:0055114,ISS,fig|387092.6.peg.854|NIS_0814
GO:0004748; GO:0006260; GO:0009263; GO:0046872; GO:0055114,ISS,fig|387092.6.peg.49|NIS_0047
GO:0004748; GO:0005524; GO:0006260; GO:0055114,ISS,fig|387092.6.peg.56|NIS_0053
GO:0003723; GO:0004521; GO:0005886; GO:0006402; GO:0016021; GO:0090502,ISS,fig|387092.6.peg.1097|NIS_1053
GO:0000049; GO:0001682; GO:0004526; GO:0090502,ISS,fig|387092.6.peg.918|NIS_0879
GO:0003723; GO:0004521; GO:0004534; GO:0005737; GO:0006364; GO:0008270; GO:0090502; GO:0090503,ISS,fig|387092.6.peg.67|NIS_0062
GO:0004525; GO:0005737; GO:0006364; GO:0006397; GO:0008033; GO:0016075; GO:0019843; GO:0046872; GO:0090502,ISS,fig|387092.6.peg.228|NIS_0215
GO:0003723; GO:0004523; GO:0005737; GO:0006401; GO:0030145; GO:0090502,ISS,fig|387092.6.peg.232|NIS_0218
GO:0000287; GO:0003676; GO:0004523; GO:0005737; GO:0006401; GO:0090502,ISS,fig|387092.6.peg.227|NIS_0214
GO:0004746,ISS,fig|387092.6.peg.1663|NIS_1588
GO:0000160,ISS,fig|387092.6.peg.1614|NIS_1540
GO:0003824; GO:0016021,ISS,fig|387092.6.peg.550|NIS_0518
GO:0009061; GO:0042597; GO:0051536,ISS,fig|387092.6.peg.1903|NIS_1818
GO:0008940; GO:0043546; GO:0046872; GO:0051539; GO:0055114,ISS,fig|387092.6.peg.1904
GO:0016491; GO:0043546; GO:0046872; GO:0051539; GO:0055114,ISS,fig|387092.6.peg.1905
GO:0003677; GO:0003678; GO:0005524; GO:0006269; GO:0032508; GO:1990077,ISS,fig|387092.6.peg.350|NIS_0338
GO:0003677; GO:0006260; GO:0006281; GO:0006310; GO:0009378; GO:0032508,ISS,fig|387092.6.peg.71|NIS_0066
,ISS,fig|387092.6.peg.1490|NIS_1419
GO:0003677; GO:0006974,ISS,fig|387092.6.peg.481|NIS_0458
,ISS,fig|387092.6.peg.30|NIS_0028
GO:0003677; GO:0006281; GO:0006310; GO:0046872,ISS,fig|387092.6.peg.1239|NIS_1185
GO:0004519; GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0045910; GO:0090305,ISS,fig|387092.6.peg.1320|NIS_1261
GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0008094; GO:0009432,ISS,fig|387092.6.peg.1736|NIS_1658
GO:0003824; GO:0051536,ISS,fig|387092.6.peg.514|NIS_0485
GO:0008901; GO:0009375; GO:0051536; GO:0055114,ISS,fig|387092.6.peg.1005|NIS_0963
GO:0008901; GO:0016151; GO:0055114,ISS,fig|387092.6.peg.1004|NIS_0962
GO:0005506; GO:0008901; GO:0009055; GO:0016021; GO:0016151; GO:0022904,ISS,fig|387092.6.peg.1006|NIS_0964
GO:0005506; GO:0008901; GO:0009055; GO:0016021; GO:0016151; GO:0022904,ISS,fig|387092.6.peg.1007|NIS_0965
GO:0008987; GO:0009435; GO:0019805; GO:0046872; GO:0051539,ISS,fig|387092.6.peg.428|NIS_0414
GO:0004514; GO:0009435,ISS,fig|387092.6.peg.429|NIS_0415
GO:0008479; GO:0008616; GO:0046872; GO:0101030,ISS,fig|387092.6.peg.1134|NIS_1085
,ISS,fig|387092.6.peg.605|NIS_0571
GO:0000287; GO:0004743; GO:0006096; GO:0016301; GO:0030955,ISS,fig|387092.6.peg.1856|NIS_1773
GO:0004739; GO:0006086; GO:0055114,ISS,fig|387092.6.peg.975|NIS_0933
GO:0004739; GO:0055114,ISS,fig|387092.6.peg.976|NIS_0934
GO:0006086; GO:0019164; GO:0055114,ISS,fig|387092.6.peg.1682|NIS_1605
GO:0006086; GO:0019164; GO:0051539; GO:0055114,ISS,fig|387092.6.peg.1681|NIS_1604
GO:0006086; GO:0019164; GO:0030976; GO:0055114,ISS,fig|387092.6.peg.1679|NIS_1602
GO:0006086; GO:0019164; GO:0055114,ISS,fig|387092.6.peg.1680|NIS_1603
GO:0004735; GO:0005737; GO:0055114; GO:0055129,ISS,fig|387092.6.peg.1419|NIS_1350
GO:0005737; GO:0008615; GO:0033856,ISS,fig|387092.6.peg.1135|NIS_1086
,ISS,fig|387092.6.peg.599|NIS_0565
GO:0030170,ISS,fig|387092.6.peg.735|NIS_0695
GO:0016021,ISS,fig|387092.6.peg.1492|NIS_1421
GO:0016021; GO:0055085,ISS,fig|387092.6.peg.760|NIS_0720
GO:0004252; GO:0006508,ISS,fig|387092.6.peg.1209|NIS_1156
,ISS,fig|387092.6.peg.165|NIS_0154
GO:0000967; GO:0004518; GO:0005737; GO:0090305,ISS,fig|387092.6.peg.923|NIS_0884
GO:0016787,ISS,fig|387092.6.peg.295|NIS_0281
GO:0004040,ISS,fig|387092.6.peg.110|NIS_0103
GO:0016021,ISS,fig|387092.6.peg.226|NIS_0213
GO:0016021; GO:0016787,ISS,fig|387092.6.peg.431|NIS_0417
,ISS,fig|387092.6.peg.597|NIS_0563
GO:0016020; GO:0016021,ISS,fig|387092.6.peg.910|NIS_0871
GO:0003824; GO:0005975; GO:0016021,ISS,fig|387092.6.peg.1213|NIS_1160
,ISS,fig|387092.6.peg.1629|NIS_1555
,ISS,fig|387092.6.peg.1773|NIS_1696
GO:0030288,ISS,fig|387092.6.peg.1774|NIS_1697
GO:0006355; GO:0016301; GO:0016310,ISS,fig|387092.6.peg.582|NIS_0548
GO:0051536; GO:0052591; GO:0055114,ISS,fig|387092.6.peg.379|NIS_0367
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.53|NIS_0050
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.92|NIS_0087
GO:0019867,ISS,fig|387092.6.peg.1116|NIS_1071
GO:0016740,ISS,fig|387092.6.peg.1926|NIS_1840
GO:0016787,ISS,fig|387092.6.peg.355|NIS_0343
GO:0016021,ISS,fig|387092.6.peg.1488|NIS_1417
GO:0005623; GO:0045454,ISS,fig|387092.6.peg.1099|NIS_1055
GO:0009403; GO:0016021,ISS,fig|387092.6.peg.1229|NIS_1176
GO:0016740,ISS,fig|387092.6.peg.1464|NIS_1394
GO:0016740,ISS,fig|387092.6.peg.1513|NIS_1442
,ISS,fig|387092.6.peg.793|NIS_0753
GO:0003677; GO:0004386; GO:0005524,ISS,fig|387092.6.peg.1300|NIS_1242
GO:0016301; GO:0016310,ISS,fig|387092.6.peg.1785|NIS_1706
GO:0016021; GO:0017004; GO:0020037,ISS,fig|387092.6.peg.1241|NIS_1187
GO:0005524,ISS,fig|387092.6.peg.9|NIS_0008
GO:0005524; GO:0016887; GO:0046872; GO:0051536,ISS,fig|387092.6.peg.632|NIS_0597
GO:0043190; GO:0055085,ISS,fig|387092.6.peg.1449|NIS_1381
GO:0003824; GO:0009116,ISS,fig|387092.6.peg.63|NIS_0058
GO:0016021,ISS,fig|387092.6.peg.217|NIS_0204
GO:0016021,ISS,fig|387092.6.peg.537|NIS_0507
GO:0016740,ISS,fig|387092.6.peg.339|NIS_0327
,ISS,fig|387092.6.peg.147|NIS_0137
GO:0005886; GO:0015031; GO:0016021,ISS,fig|387092.6.peg.1539|NIS_1467
GO:0005886; GO:0006605; GO:0016021; GO:0043952; GO:0065002,ISS,fig|387092.6.peg.256|NIS_0242
GO:0005886; GO:0006605; GO:0015450; GO:0016021; GO:0043952; GO:0065002,ISS,fig|387092.6.peg.1537|NIS_1465
GO:0005886; GO:0006605; GO:0009306; GO:0015450; GO:0016021; GO:0043952; GO:0065002,ISS,fig|387092.6.peg.276|NIS_0262
GO:0005886; GO:0006605; GO:0015450; GO:0016021; GO:0043952; GO:0065002,ISS,fig|387092.6.peg.1538|NIS_1466
GO:0004386; GO:0005524; GO:0005737; GO:0005886; GO:0006605; GO:0017038; GO:0046872; GO:0065002,ISS,fig|387092.6.peg.870|NIS_0830
GO:0005886; GO:0009306; GO:0015450; GO:0016021; GO:0071806,ISS,fig|387092.6.peg.1927|NIS_1841
GO:0004722; GO:0006470,ISS,fig|387092.6.peg.205|NIS_0192
GO:0016787,ISS,fig|387092.6.peg.905|NIS_0865
,ISS,fig|387092.6.peg.1431|NIS_1362
,ISS,fig|387092.6.peg.1650|NIS_1575
GO:0016740,ISS,fig|387092.6.peg.149|NIS_0139
,ISS,fig|387092.6.peg.609|NIS_0575
GO:0016021,ISS,fig|387092.6.peg.104|NIS_0098
GO:0005886; GO:0016021,ISS,fig|387092.6.peg.121|NIS_0113
GO:0004719; GO:0006479,ISS,fig|387092.6.peg.47|NIS_0045
GO:0000156; GO:0000160; GO:0005737; GO:0006935; GO:0008984,ISS,fig|387092.6.peg.958|NIS_0917
GO:0006508; GO:0008233; GO:0016021,ISS,fig|387092.6.peg.444|NIS_0428
GO:0004222; GO:0005886; GO:0006508; GO:0008270; GO:0016021,ISS,fig|387092.6.peg.927|NIS_0888
GO:0006508; GO:0008236,ISS,fig|387092.6.peg.914|NIS_0875
,ISS,fig|387092.6.peg.1780
GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433; GO:0106074,ISS,fig|387092.6.peg.1067|NIS_1023
GO:0005887; GO:0008961; GO:0042158,ISS,fig|387092.6.peg.382|NIS_0370
GO:0003677; GO:0004519; GO:0090305,ISS,fig|387092.6.peg.1846|NIS_1763
GO:0006355,ISS,fig|387092.6.peg.1845|NIS_1762
GO:0003677; GO:0005737; GO:0006355,ISS,fig|387092.6.peg.594|NIS_0560
GO:0005315; GO:0006817; GO:0016021; GO:0055085,ISS,fig|387092.6.peg.602|NIS_0568
GO:0019867; GO:0043165,ISS,fig|387092.6.peg.1535|NIS_1463
,ISS,fig|387092.6.peg.299|NIS_0285
,ISS,fig|387092.6.peg.233|NIS_0219
GO:0004665; GO:0006571; GO:0008977; GO:0055114,ISS,fig|387092.6.peg.420|NIS_0406
GO:0004325; GO:0019354; GO:0043115; GO:0055114,ISS,fig|387092.6.peg.1860|NIS_1777
GO:0016021; GO:0055085,ISS,fig|387092.6.peg.1812|NIS_1731
GO:0006813; GO:0008324; GO:0016021; GO:0098655,ISS,fig|387092.6.peg.187|NIS_0175
GO:0005216; GO:0006813; GO:0008324; GO:0016021; GO:0098655,ISS,fig|387092.6.peg.897|NIS_0857
GO:0006813; GO:0008324; GO:0098655,ISS,fig|387092.6.peg.898|NIS_0858
GO:0006813; GO:0016021,ISS,fig|387092.6.peg.1798|NIS_1717
GO:0000160; GO:0003677,ISS,fig|387092.6.peg.629|NIS_0594
GO:0004810; GO:0005524,ISS,fig|387092.6.peg.224|NIS_0211
GO:0004601; GO:0051920; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.977|NIS_0935
GO:0006935; GO:0007165,ISS,fig|387092.6.peg.638|NIS_0603
GO:0004655; GO:0006779; GO:0046872,ISS,fig|387092.6.peg.372|NIS_0360
GO:0004418; GO:0006782; GO:0018160,ISS,fig|387092.6.peg.1064|NIS_1020
GO:0016798; GO:0016810; GO:0045493,ISS,fig|387092.6.peg.1928|NIS_1842
GO:0003676; GO:0004527; GO:0090305,ISS,fig|387092.6.peg.1485|NIS_1414
GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402,ISS,fig|387092.6.peg.1402|NIS_1333
GO:0008976; GO:0016310,ISS,fig|387092.6.peg.1829|NIS_1746
GO:0005524; GO:0006799; GO:0008976; GO:0009358; GO:0016310; GO:0046872,ISS,fig|387092.6.peg.340|NIS_0328
GO:0016021,ISS,fig|387092.6.peg.1866|NIS_1783
GO:0008940; GO:0016021; GO:0055114,ISS,fig|387092.6.peg.1890|NIS_1806
GO:0004647; GO:0016311,ISS,fig|387092.6.peg.1372|NIS_1308
GO:0008483,ISS,fig|387092.6.peg.1704|NIS_1627
GO:0009116; GO:0016757,ISS,fig|387092.6.peg.76|NIS_0071
GO:0004644; GO:0006189,ISS,fig|387092.6.peg.183|NIS_0171
GO:0000287; GO:0004642; GO:0005524; GO:0005737; GO:0006189,ISS,fig|387092.6.peg.934|NIS_0895
GO:0004642; GO:0005524; GO:0005737; GO:0006189,ISS,fig|387092.6.peg.912|NIS_0873
GO:0004359; GO:0004642; GO:0005524; GO:0005737; GO:0006189; GO:0006541,ISS,fig|387092.6.peg.911|NIS_0872
GO:0004641; GO:0005524; GO:0005737; GO:0006189,ISS,fig|387092.6.peg.105|NIS_0099
GO:0000105; GO:0003949; GO:0005737,ISS,fig|387092.6.peg.1482|NIS_1411
GO:0000162; GO:0004640,ISS,fig|387092.6.peg.334|NIS_0321
GO:0000105; GO:0004635; GO:0004636; GO:0005524; GO:0005737,ISS,fig|387092.6.peg.1618|NIS_1544
GO:0004639; GO:0005524; GO:0006189; GO:0009236,ISS,fig|387092.6.peg.913|NIS_0874
GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872,ISS,fig|387092.6.peg.1406|NIS_1337
GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941,ISS,fig|387092.6.peg.1156|NIS_1104
GO:0004595; GO:0005524; GO:0005737; GO:0015937,ISS,fig|387092.6.peg.860|NIS_0820
GO:0005886; GO:0007049; GO:0008360; GO:0008963; GO:0009252; GO:0016021; GO:0051301; GO:0051992; GO:0071555,ISS,fig|387092.6.peg.325|NIS_0312
GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539,ISS,fig|387092.6.peg.631|NIS_0596
GO:0016021,ISS,fig|387092.6.peg.1163|NIS_1111
,ISS,fig|387092.6.peg.1371|NIS_1307
GO:0043190,ISS,fig|387092.6.peg.1104|NIS_1059
GO:0005524; GO:0016887,ISS,fig|387092.6.peg.1078|NIS_1034
GO:0005975; GO:0008967; GO:0016311; GO:0046295; GO:0046872,ISS,fig|387092.6.peg.212|NIS_0199
GO:0016787,ISS,fig|387092.6.peg.1683|NIS_1606
GO:0006094; GO:0006096; GO:0046538,ISS,fig|387092.6.peg.961|NIS_0920
GO:0004618; GO:0005524; GO:0005737; GO:0006096,ISS,fig|387092.6.peg.1565|NIS_1491
GO:0000287; GO:0005975; GO:0008966,ISS,fig|387092.6.peg.113|NIS_0106
GO:0000287; GO:0004615; GO:0005975,ISS,fig|387092.6.peg.1499|NIS_1428
GO:0000287; GO:0004614; GO:0005975,ISS,fig|387092.6.peg.989|NIS_0946
GO:0005524; GO:0006090; GO:0006094; GO:0008986; GO:0016310; GO:0046872,ISS,fig|387092.6.peg.964|NIS_0923
GO:0004612; GO:0005524; GO:0005737; GO:0006094; GO:0016301; GO:0016310; GO:0046872,ISS,fig|387092.6.peg.45|NIS_0043
GO:0004609; GO:0006646,ISS,fig|387092.6.peg.842|NIS_0802
GO:0005886; GO:0006655; GO:0008962; GO:0009395; GO:0016021; GO:0016311; GO:0046872,ISS,fig|387092.6.peg.627|NIS_0592
GO:0004605; GO:0016021; GO:0016024,ISS,fig|387092.6.peg.1745|NIS_1667
GO:0005623; GO:0030643; GO:0045936,ISS,fig|387092.6.peg.615|NIS_0581
GO:0035435; GO:0042301; GO:0043190,ISS,fig|387092.6.peg.616|NIS_0582
GO:0005315; GO:0005886; GO:0006817; GO:0016021; GO:0055085,ISS,fig|387092.6.peg.618|NIS_0584
GO:0005315; GO:0005887; GO:0035435,ISS,fig|387092.6.peg.619|NIS_0585
GO:0005315; GO:0005524; GO:0005886; GO:0015415; GO:0016887; GO:0035435,ISS,fig|387092.6.peg.620|NIS_0586
GO:0005737; GO:0006633; GO:0008654; GO:0043811,ISS,fig|387092.6.peg.412|NIS_0398
GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432,ISS,fig|387092.6.peg.697|NIS_0660
GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432,ISS,fig|387092.6.peg.696|NIS_0659
GO:0006323,ISS,fig|387092.6.peg.488|NIS_0464
GO:0016787,ISS,fig|387092.6.peg.505|NIS_0478
,ISS,fig|387092.6.peg.498|NIS_0472
GO:0003677; GO:0006310; GO:0015074,ISS,fig|387092.6.peg.456|NIS_0440
GO:0003677; GO:0006310; GO:0015074,ISS,fig|387092.6.peg.1400|NIS_1332
GO:0003677; GO:0006310; GO:0015074,ISS,fig|387092.6.peg.1767|NIS_1691
GO:0004601; GO:0005623; GO:0005737; GO:0045454; GO:0051920; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.17|NIS_0016
GO:0003677; GO:0003700; GO:0005737; GO:0006355; GO:0046872,ISS,fig|387092.6.peg.1203|NIS_1150
GO:0005048; GO:0005737; GO:0016491; GO:0051224; GO:0055114,ISS,fig|387092.6.peg.1886|NIS_1802
GO:0008940; GO:0055114,ISS,fig|387092.6.peg.1887|NIS_1803
GO:0005506; GO:0005576; GO:0006777; GO:0008940; GO:0009055; GO:0022900; GO:0030151; GO:0042128; GO:0042597; GO:0043546; GO:0050140; GO:0051539,ISS,fig|387092.6.peg.1892|NIS_1808
GO:0010038,ISS,fig|387092.6.peg.1085|NIS_1041
GO:0004045; GO:0005737; GO:0006412,ISS,fig|387092.6.peg.398|NIS_0385
GO:0000413; GO:0003755; GO:0016021,ISS,fig|387092.6.peg.1075|NIS_1031
GO:0000413; GO:0003755,ISS,fig|387092.6.peg.595|NIS_0561
GO:0000413; GO:0003755; GO:0006457,ISS,fig|387092.6.peg.569|NIS_0537
GO:0005887; GO:0008360; GO:0009252; GO:0015648; GO:0015836; GO:0071555,ISS,fig|387092.6.peg.1152|NIS_1100
GO:0016021; GO:0051301,ISS,fig|387092.6.peg.1604|NIS_1530
GO:0006508; GO:0008658; GO:0009002; GO:0009252; GO:0016020; GO:0016757,ISS,fig|387092.6.peg.825|NIS_0784
GO:0006464; GO:0008113; GO:0055114,ISS,fig|387092.6.peg.1170|NIS_1118
GO:0006979; GO:0008270; GO:0030091; GO:0033743; GO:0055114,ISS,fig|387092.6.peg.54|NIS_0051
GO:0016021,ISS,fig|387092.6.peg.336|NIS_0324
GO:0006412; GO:0042586; GO:0046872,ISS,fig|387092.6.peg.177|NIS_0166
GO:0003676; GO:0006479; GO:0008276; GO:0102559,ISS,fig|387092.6.peg.1080|NIS_1036
GO:0005737; GO:0006415; GO:0016149,ISS,fig|387092.6.peg.1608|NIS_1534
GO:0005737; GO:0006415; GO:0016149,ISS,fig|387092.6.peg.111|NIS_0104
GO:0004222; GO:0006508; GO:0016021,ISS,fig|387092.6.peg.749|NIS_0709
GO:0015204; GO:0016021; GO:0071918,ISS,fig|387092.6.peg.527|NIS_0497
GO:0009058; GO:0046820,ISS,fig|387092.6.peg.388|NIS_0375
GO:0004594; GO:0016310; GO:0043167,ISS,fig|387092.6.peg.1223|NIS_1170
GO:0004592; GO:0005524; GO:0005737; GO:0015940,ISS,fig|387092.6.peg.1607|NIS_1533
,ISS,fig|387092.6.peg.1062|NIS_1019
,ISS,fig|387092.6.peg.1896|NIS_1811
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.1935|NIS_1849
GO:0004109; GO:0005737; GO:0006779; GO:0046872; GO:0051539; GO:0055114,ISS,fig|387092.6.peg.1194|NIS_1142
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.1380|NIS_1316
GO:0016491; GO:0043546; GO:0046872; GO:0051539; GO:0055114,ISS,fig|387092.6.peg.607|NIS_0573
GO:0016021,ISS,fig|387092.6.peg.606|NIS_0572
GO:0005886; GO:0008948; GO:0015081; GO:0015451; GO:0016021; GO:0036376,ISS,fig|387092.6.peg.1367|NIS_1304
GO:0005886; GO:0006814; GO:0016021; GO:0016829,ISS,fig|387092.6.peg.1365|NIS_1302
GO:0016829,ISS,fig|387092.6.peg.1366|NIS_1303
GO:0009279; GO:0016021; GO:0043165; GO:0051205,ISS,fig|387092.6.peg.421|NIS_0407
GO:0019867,ISS,fig|387092.6.peg.214|NIS_0201
GO:0016021,ISS,fig|387092.6.peg.558|NIS_0526
GO:0016021,ISS,fig|387092.6.peg.1913|NIS_1827
GO:0015031; GO:0042597,ISS,fig|387092.6.peg.869|NIS_0829
GO:0015562; GO:0055085,ISS,fig|387092.6.peg.702|NIS_0665
GO:0015562; GO:0055085,ISS,fig|387092.6.peg.1800|NIS_1719
GO:0004590; GO:0006207; GO:0044205,ISS,fig|387092.6.peg.547|NIS_0516
GO:0000287; GO:0004588; GO:0009116; GO:0019856; GO:0044205,ISS,fig|387092.6.peg.1930|NIS_1844
GO:0004585; GO:0005737; GO:0006526; GO:0006591; GO:0016597,ISS,fig|387092.6.peg.373|NIS_0361
GO:0008836,ISS,fig|387092.6.peg.528|NIS_0498
GO:0004576; GO:0006486; GO:0016021,ISS,fig|387092.6.peg.1309|NIS_1250
GO:0004222; GO:0006508; GO:0046872,ISS,fig|387092.6.peg.565|NIS_0533
GO:0009249; GO:0016874; GO:0033819; GO:0102555,ISS,fig|387092.6.peg.968|NIS_0926
GO:0003961; GO:0019346; GO:0030170; GO:0071266,ISS,fig|387092.6.peg.1337|NIS_1278
GO:0003961; GO:0019346; GO:0030170; GO:0071266,ISS,fig|387092.6.peg.1338|NIS_1279
,ISS,fig|387092.6.peg.55|NIS_0052
GO:0016740,ISS,fig|387092.6.peg.1432|NIS_1363
GO:0016740,ISS,fig|387092.6.peg.1651|NIS_1576
GO:0016740,ISS,fig|387092.6.peg.150|NIS_0140
GO:0016740,ISS,fig|387092.6.peg.608|NIS_0574
GO:0004550; GO:0005524; GO:0005737; GO:0006165; GO:0006183; GO:0006228; GO:0006241; GO:0046872,ISS,fig|387092.6.peg.409|NIS_0395
GO:0000166; GO:0009117; GO:0009146; GO:0017111; GO:0046872; GO:0047429,ISS,fig|387092.6.peg.1707|NIS_1630
GO:0016020,ISS,fig|387092.6.peg.1932|NIS_1846
GO:0003677; GO:0005737; GO:0043590,ISS,fig|387092.6.peg.270|NIS_0256
GO:0016021,ISS,fig|387092.6.peg.691|NIS_0654
GO:0006508; GO:0008237; GO:0008270; GO:0009014; GO:0009089; GO:0019877; GO:0050897,ISS,fig|387092.6.peg.1294|NIS_1237
GO:0009016; GO:0009058; GO:0030170,ISS,fig|387092.6.peg.1329|NIS_1270
GO:0003723; GO:0005737; GO:0008168; GO:0032259,ISS,fig|387092.6.peg.713|NIS_0676
GO:0005384; GO:0005623; GO:0016021; GO:0030026; GO:0071421,ISS,fig|387092.6.peg.132|NIS_0123
GO:0016021,ISS,fig|387092.6.peg.133|NIS_0124
GO:0016021,ISS,fig|387092.6.peg.1670|NIS_1594
GO:0016021,ISS,fig|387092.6.peg.1484|NIS_1413
GO:0016021; GO:0055085,ISS,fig|387092.6.peg.1863|NIS_1780
GO:0005524; GO:0016887,ISS,fig|387092.6.peg.1865|NIS_1782
,ISS,fig|387092.6.peg.102|NIS_0096
,ISS,fig|387092.6.peg.1870|NIS_1787
GO:0016020,ISS,fig|387092.6.peg.1864|NIS_1781
GO:0004129; GO:0005507; GO:0016020; GO:0020037; GO:0022900; GO:0050304; GO:1902600,ISS,fig|387092.6.peg.1872|NIS_1789
GO:0006808; GO:0030234; GO:0050790,ISS,fig|387092.6.peg.523|NIS_0493
GO:0006808; GO:0030234; GO:0050790,ISS,fig|387092.6.peg.1501|NIS_1430
GO:0005506; GO:0016226; GO:0051536,ISS,fig|387092.6.peg.265|NIS_0251
GO:0009055; GO:0020037; GO:0022900; GO:0046872; GO:0050421,ISS,fig|387092.6.peg.1876|NIS_1793
GO:0009055; GO:0020037; GO:0022900; GO:0046872; GO:0050421,ISS,fig|387092.6.peg.1877|NIS_1794
